BIB_ID,MFHD_ID,ITEM_ID,LOCATION_NAME,Expr1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2900,4732,2866829,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580699,5060895,2866671,UR Lib Annex 3,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1741784,1870527,2866759,Miner Lib Journals 2,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002317,1106535,2866752,Carlson Circulating Books,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2900,4732,2866830,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2900,4732,2866831,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2900,4732,2866833,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22516,38814,2866784,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2900,4732,2866834,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2900,4732,2866837,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2900,4732,2866840,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,723,2866785,Rhees Stacks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2900,4732,2866842,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2900,4732,2866843,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3831,5060494,2866764,UR Lib Annex 3,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14475,26012,2866695,Miner Lib Journals 2,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23961,41427,2866754,UR Lib Annex 1,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22834,39396,2866674,UR Lib Annex 3,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76014,37317,2866747,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3755,6044,2866763,UR Lib Annex 3,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20836,36334,2866757,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24800,42672,2866788,Rhees Stacks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2237,3757,2866736,Carlson Circulating Books,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,1327,2866739,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124672,149987,2866751,Miner Lib Hist Med Ref,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2237,3757,2866735,Carlson Circulating Books,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24783,42640,2866728,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71451,94409,2866713,UR Lib Annex 3,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71451,94409,2866714,UR Lib Annex 3,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2899,4731,2866807,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3092,5004,2866756,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,1763,2866787,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,1747,2866672,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23097,39890,2866777,Rhees Stacks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1312,2241,2866675,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1312,2241,2866676,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25071,1924786,2866758,UR Lib Annex 1,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1705557,1830959,2866760,POA Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,1138,2866727,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2899,4731,2866810,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690,2834,2866673,UR Lib Annex 3,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2972,4839,2866715,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2972,4839,2866716,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2972,4839,2866718,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2972,4839,2866719,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,809,2866741,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3369,5422,2866765,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2899,4731,2866761,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2899,4731,2866762,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3369,5422,2866743,Carlson Journals,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314,2243,2866722,UR Lib Annex 3,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314,2243,2866723,UR Lib Annex 3,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314,2243,2866724,UR Lib Annex 3,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314,2243,2866726,UR Lib Annex 3,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
